,Unnamed: 0,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,ΔValue
94,94,None,2022-06-23 16:32:32,2022-06-22,VXRT,"Vaxart, Inc.",Ahmad Fuad,Interim CFO,Purchase,$3.22,"+5,000.00","5,000.00",0%,"+$16,100.00"
154,154,M,2022-06-22 17:18:49,2022-06-22,“TELA”,"TELA Bio, Inc.",Opaleye Management Inc.,10%,Purchase,$6.50,"+52,400.00","1,637,400.00",3.31%,"+$340,573.80"
81,81,M,2022-06-23 17:21:44,2022-06-21,VYGR,"Voyager Therapeutics, Inc.","EcoR1 Capital, LLC",10%,Purchase,$5.58,"+477,400.00","4,753,907.00",11.16%,"+$2,662,046.74"
126,126,M,2022-06-22 16:06:37,2022-06-21,FRT,FEDERAL REALTY INVESTMENT TRUST,FAEDER DAVID W,Dir,Purchase,$95.84,"+10,565.00","23,878.00",79.36%,"+$1,012,586.97"
164,164,None,2022-06-22 18:39:54,2022-06-21,SYY,SYSCO CORP,Alt Aaron E,EVP and CFO,Purchase,$80.09,"+1,000.00","14,219.65",7.56%,"+$80,090.00"
181,181,None,2022-06-21 13:36:22,2022-06-17,OKE,ONEOK INC,NORTON PIERCE,"Dir,President & CEO",Purchase,$55.54,"+8,975.00","9,414.00",2044.42%,"+$498,461.63"
187,187,None,2022-06-21 09:16:30,2022-06-17,EMAN,EMAGIN CORP,Koch Mark A,CFO,Purchase,$0.62,"+5,000.00","41,666.00",13.64%,"+$3,087.00"
201,201,None,2022-06-21 16:31:14,2022-06-17,WD,"Walker & Dunlop, Inc.",SCHMALTZ DANA L,Dir,Purchase,$90.16,"+1,000.00","69,835.00",1.45%,"+$90,163.80"
218,218,M,2022-06-21 09:19:35,2022-06-17,MCHP,MICROCHIP TECHNOLOGY INC,MOORTHY GANESH,"Dir,President & CEO",Purchase,$57.29,"+8,000.00","720,313.00",1.12%,"+$458,300.90"
341,341,None,2022-06-17 17:24:06,2022-06-17,WES,"Western Midstream Partners, LP",Bourne Robert W.,SVP & Chief Commercial Officer,Purchase,$22.90,"+2,500.00","34,400.00",7.84%,"+$57,250.00"
9,9,M,2022-06-27 17:59:57,2022-06-23,RMAX,RE,Peterson Adam K,10%,Purchase,$24.51,"+33,102.00","2,041,594.00",1.65%,"+$811,396.25"
122,122,M,2022-06-23 18:28:33,2022-06-21,SEAC,SEACHANGE INTERNATIONAL INC,SINGER KAREN,10%,Purchase,$0.54,"+290,383.00","6,625,616.00",4.58%,"+$157,941.09"
177,177,None,2022-06-21 17:09:02,2022-06-16,SEAC,SEACHANGE INTERNATIONAL INC,AQUINO PETER D,"Dir,President and C.E.O.",Purchase,$0.53,"+189,000.00","766,777.00",32.71%,"+$100,170.00"
178,178,M,2022-06-21 14:41:25,2022-06-16,SEAC,SEACHANGE INTERNATIONAL INC,SINGER KAREN,10%,Purchase,$0.53,"+267,617.00","6,335,233.00",4.41%,"+$142,557.74"
204,204,None,2022-06-21 16:07:31,2022-06-16,IPGP,IPG PHOTONICS CORP,Mammen Timothy PV,"SVP, Chief Financial Officer",Purchase,$83.54,"+3,000.00","53,493.00",5.94%,"+$250,620.00"
215,215,None,2022-06-21 10:26:38,2022-06-16,BKE,BUCKLE INC,FAIRFIELD BILL L,Dir,Purchase,$28.88,+200.00,"46,508.17",0.43%,"+$5,776.00"
222,222,None,2022-06-21 17:20:31,2022-06-16,NREF,"NexPoint Real Estate Finance, Inc.",DONDERO JAMES D,"Dir,President10%",Purchase,$24.64,"+5,029.00","13,529.00",59.16%,"+$123,914.56"
223,223,None,2022-06-21 17:21:57,2022-06-16,NXRT,"NexPoint Residential Trust, Inc.",DONDERO JAMES D,"Dir,President10%",Purchase,$59.01,"+17,050.00","2,695,927.47",0.64%,"+$1,006,120.50"
224,224,None,2022-06-21 10:08:26,2022-06-16,BTBD,"BT Brands, Inc.",COPPERUD GARY,"Dir,Chief Executive Officer",Purchase,$2.20,"+150,000.00","1,243,340.00",13.72%,"+$330,000.00"
252,252,None,2022-06-21 10:02:37,2022-06-16,COGT,"Cogent Biosciences, Inc.",Fairmount Funds Management LLC,"10%,other",Purchase,$8.25,"+1,200,000.00","2,758,975.00",76.97%,"+$9,900,000.00"
256,256,None,2022-06-21 12:23:12,2022-06-16,RMAX,RE,Peterson Adam K,10%,Purchase,$21.94,"+40,239.00","2,008,492.00",2.04%,"+$882,843.66"
263,263,None,2022-06-21 16:33:26,2022-06-16,WVE,Wave Life Sciences Ltd.,"RA CAPITAL MANAGEMENT, L.P.","Dir,10%",Purchase,$2.15,"+9,480,052.00","17,202,009.00",122.77%,"+$20,382,111.80"
268,268,M,2022-06-21 19:48:50,2022-06-16,GROV,"Grove Collaborative Holdings, Inc.",Virgin Group Acquisition Sponsor II LLC,10%,"CnvDeriv,Purchase",$3.44,"+19,394,024.00","19,394,024.00",0%,"+$66,715,240.00"
426,426,M,2022-06-16 20:29:09,2022-06-16,ENZ,ENZO BIOCHEM INC,Radoff Bradley Louis,Dir,Purchase,$2.20,"+125,000.00","4,417,163.00",2.91%,"+$275,500.00"
441,441,None,2022-06-16 17:16:56,2022-06-16,GWRE,"Guidewire Software, Inc.",Ryu Marcus,Dir,Purchase,$70.81,"+1,000.00","4,539.00",28.26%,"+$70,810.00"
287,287,None,2022-06-17 07:30:09,2022-06-15,“OMEX”,ODYSSEY MARINE EXPLORATION INC,Barton Laura Lionetti,"Dir,Chief Business Officer",Purchase,$2.85,"+2,500.00","85,255.00",3.02%,"+$7,125.00"
323,323,None,2022-06-17 06:48:09,2022-06-15,DSGR,"Distribution Solutions Group, Inc.",KING LUTHER CAPITAL MANAGEMENT CORP,"Dir,10%",Purchase,$51.00,"+10,000.00","14,660,556.00",0.07%,"+$510,000.00"
336,336,None,2022-06-17 07:30:09,2022-06-15,“OMEX”,ODYSSEY MARINE EXPLORATION INC,Barton Laura Lionetti,"Dir,Chief Business Officer",Purchase,$2.85,"+2,500.00","85,255.00",3.02%,"+$7,125.00"
342,342,None,2022-06-17 20:40:06,2022-06-15,CUEN,Cuentas Inc.,Maimon Arik,"Dir,10%",Purchase,$0.69,"+32,850.00","1,621,007.00",2.07%,"+$22,558.09"
343,343,None,2022-06-17 18:01:28,2022-06-15,VCSA,"Vacasa, Inc.",Peterson Karl Mr.,Dir,Purchase,$2.77,"+500,000.00","1,624,658.00",44.46%,"+$1,385,600.00"
393,393,None,2022-06-16 16:51:40,2022-06-15,GWRE,"Guidewire Software, Inc.",KELLER MICHAEL C,Dir,Purchase,$72.13,"+2,000.00","8,830.00",29.28%,"+$144,260.00"
394,394,None,2022-06-16 16:05:36,2022-06-15,MBUU,"MALIBU BOATS, INC.",MURPHY PETER E,Dir,Purchase,$54.00,+700.00,"26,780.00",2.68%,"+$37,800.00"
462,462,None,2022-06-16 16:42:05,2022-06-15,VORB,"Virgin Orbit Holdings, Inc.",MCFARLAND KATHARINA G.,Dir,Purchase,$2.90,"+2,884.00","10,993.00",35.57%,"+$8,363.60"
262,262,None,2022-06-21 09:21:57,2022-06-17,AMSWA,AMERICAN SOFTWARE INC,Thomas Lizanne,Dir,Purchase,$15.56,"+1,400.00","1,488.00",1590.91%,"+$21,784.00"
324,324,None,2022-06-17 13:35:27,2022-06-16,NVVE,Nuvve Holding Corp.,Robson David,Chief Financial Officer,Purchase,$5.54,"+10,250.00","31,373.00",48.53%,"+$56,785.00"
481,481,None,2022-06-16 17:05:24,2022-06-16,LINK,INTERLINK ELECTRONICS INC,Fregosi Maria N.,Dir,Purchase,$8.85,+500.00,"1,378.00",56.95%,"+$4,425.00"
380,380,None,2022-06-16 17:08:14,2022-06-14,QSI,Quantum-Si Inc,ROTHBERG JONATHAN M,"Dir,Interim CEO",Purchase,$3.10,"+25,561.00","37,176,540.00",0.07%,"+$79,175.20"
384,384,M,2022-06-16 16:57:53,2022-06-14,OAK,"Oaktree Capital Group, LLC",GILBERT STEVEN J,Dir,Purchase,$23.69,"+20,000.00","30,000.00",200%,"+$473,817.00"
416,416,None,2022-06-16 09:34:52,2022-06-14,AMSWA,AMERICAN SOFTWARE INC,Thomas Lizanne,Dir,Purchase,$15.82,+88.00,88.00,0%,"+$1,392.27"
424,424,M,2022-06-16 16:08:39,2022-06-14,CNFN,CFN Enterprises Inc.,Ross Brian S,"Dir,President & CEO",Purchase,$0.74,"+64,143.00","633,144.00",11.27%,"+$47,600.10"
430,430,None,2022-06-16 16:30:40,2022-06-14,CLIR,ClearSign Technologies Corp,Pate Bruce Alan,Dir,Purchase,$1.12,"+45,000.00","250,000.00",21.95%,"+$50,400.00"
442,442,None,2022-06-16 16:19:29,2022-06-14,SERA,"SERA PROGNOSTICS, INC.",Jackson Benjamin,General Counsel,Purchase,$1.20,"+8,000.00","8,000.00",0%,"+$9,600.00"
449,449,M,2022-06-16 16:15:35,2022-06-14,LINK,INTERLINK ELECTRONICS INC,Wolenski David John,Dir,Purchase,$8.91,"+1,750.00","2,285.00",327.1%,"+$15,590.15"
472,472,None,2022-06-16 16:53:55,2022-06-14,BRMK,Broadmark Realty Capital Inc.,Ward Brian Phillip,"Dir,Chief Executive Officer",Purchase,$6.26,"+31,925.39","114,748.39",38.55%,"+$199,999.77"
488,488,M,2022-06-16 17:26:08,2022-06-14,NASD,SINGING MACHINE CO INC,"BitNile Holdings, Inc.",,Purchase,$6.02,"+97,482.00","1,502,482.00",6.94%,"+$587,022.54"
503,503,None,2022-06-15 16:55:15,2022-06-14,HYPR,"Hyperfine, Inc.",ROTHBERG JONATHAN M,"Dir,10%",Purchase,$2.26,"+52,848.00","16,353,335.00",0.32%,"+$119,436.48"
534,534,None,2022-06-15 16:30:25,2022-06-14,CCSI,"Consensus Cloud Solutions, Inc.",HEALY ELAINE,Dir,Purchase,$38.52,"+1,000.00","1,000.00",0%,"+$38,520.20"
541,541,None,2022-06-15 18:01:26,2022-06-14,NVVE,Nuvve Holding Corp.,Robson David,Chief Financial Officer,Purchase,$5.46,+125.00,"21,123.00",0.6%,+$682.50
589,589,None,2022-06-15 16:38:16,2022-06-14,CASH,META FINANCIAL GROUP INC,Pharr Brett L.,"Dir,Chief Executive Officer",Purchase,$37.25,"+2,500.00","47,489.00",5.56%,"+$93,125.00"
616,616,None,2022-06-14 17:15:20,2022-06-14,SRNE,"Sorrento Therapeutics, Inc.",Ji Henry,"Dir,See Remarks",Purchase,$1.40,"+10,000.00","4,377,500.00",0.23%,"+$13,999.00"
412,412,None,2022-06-16 09:11:16,2022-06-15,EPRT,"ESSENTIAL PROPERTIES REALTY TRUST, INC.",Patten Mark E,"Executive VP, CFO & Treasurer",Purchase,$20.76,"+1,000.00","84,453.00",1.2%,"+$20,760.00"
491,491,None,2022-06-15 17:37:31,2022-06-14,BARK,"Bark, Inc.",LEDECKY JONATHAN J,Dir,Purchase,$1.43,"+200,000.00","200,000.00",0%,"+$286,000.00"
548,548,M,2022-06-15 20:03:10,2022-06-13,NLOK,NortonLifeLock Inc.,Feld Peter A,Dir,Purchase,$22.22,"+2,500,000.00","19,256,680.00",14.92%,"+$55,560,900.00"
572,572,None,2022-06-15 16:15:24,2022-06-13,CWK,Cushman & Wakefield plc,MACKAY MICHELLE,See Remarks,Purchase,$14.64,"+3,500.00","50,760.00",7.41%,"+$51,240.00"
614,614,None,2022-06-14 16:32:35,2022-06-13,INOD,INNODATA INC,Massey Stewart R,Dir,Purchase,$4.69,"+10,000.00","34,500.00",40.82%,"+$46,900.00"
626,626,None,2022-06-14 08:01:45,2022-06-13,ICCC,IMMUCELL CORP,Cunningham David,Dir,Purchase,$8.00,"+1,000.00","16,000.00",6.67%,"+$8,000.00"
628,628,None,2022-06-14 08:57:39,2022-06-13,EPRT,"ESSENTIAL PROPERTIES REALTY TRUST, INC.",Mavoides Peter M.,"Dir,President and CEO",Purchase,$20.68,"+20,000.00","459,170.00",4.55%,"+$413,600.00"
658,658,M,2022-06-14 17:01:41,2022-06-13,BARK,"Bark, Inc.",Kamenetzky David,Dir,Purchase,$1.46,"+112,514.00","112,514.00",0%,"+$164,545.10"
686,686,None,2022-06-14 11:49:17,2022-06-13,EPR,EPR PROPERTIES,Ziegler Caixia,Dir,Purchase,$45.14,+500.00,500.00,0%,"+$22,570.00"
698,698,M,2022-06-14 16:05:22,2022-06-13,ARKR,ARK RESTAURANTS CORP,SATTERFIELD THOMAS A JR,10%,Purchase,$16.79,"+8,118.00","389,663.00",2.13%,"+$136,289.48"
709,709,None,2022-06-14 15:03:28,2022-06-13,NRK,NUVEEN NEW YORK AMT-FREE QUALITY MUNICIPAL INCOME FUND,PERRY MICHAEL A,Vice President,Purchase,$11.23,"+42,639.00","42,639.00",0%,"+$478,895.66"
780,780,None,2022-06-13 18:08:00,2022-06-13,AQB,"AquaBounty Technologies, Inc.",Stern Michael K,Dir,Purchase,$1.60,"+15,000.00","15,000.00",0%,"+$24,000.00"
167,167,None,2022-06-22 16:10:56,2022-06-17,NN,NEXTNAV INC.,Presutti Timothy M.,10%,Purchase,$2.79,"+196,071.00","17,382,230.00",1.14%,"+$546,116.56"
469,469,None,2022-06-16 08:17:34,2022-06-14,MVST,"Microvast Holdings, Inc.",Smith Shane,Chief Operating Officer,Purchase,$2.50,"+250,000.00","250,000.00",0%,"+$625,000.00"
590,590,M,2022-06-15 21:47:36,2022-06-10,NN,NEXTNAV INC.,Presutti Timothy M.,10%,Purchase,$2.34,"+346,571.00","16,878,372.00",2.01%,"+$810,507.13"
649,649,M,2022-06-14 17:17:06,2022-06-10,MVST,"Microvast Holdings, Inc.",Webster Craig,"Dir,Chief Financial Officer",Purchase,$2.58,"+300,000.00","315,077.00",1989.79%,"+$775,420.00"
758,758,None,2022-06-13 08:19:22,2022-06-10,VCYT,"VERACYTE, INC.",Stapley Marc,"Dir,Chief Executive Officer",Purchase,$16.33,"+60,000.00","159,761.00",60.14%,"+$980,094.00"
762,762,None,2022-06-13 17:34:57,2022-06-10,SFBS,"ServisFirst Bancshares, Inc.",TUDER IRMA LOYA,Dir,Purchase,$76.60,"+2,000.00","74,066.00",2.78%,"+$153,199.80"
775,775,None,2022-06-13 16:15:39,2022-06-10,SSTK,"Shutterstock, Inc.",Hennessy Paul J.,Dir,Purchase,$56.47,"+10,000.00","31,134.00",47.32%,"+$564,700.00"
823,823,None,2022-06-10 14:49:49,2022-06-10,SFBS,"ServisFirst Bancshares, Inc.",BROUGHTON THOMAS A,"Dir,Chairman, President, & CEO",Purchase,$76.23,"+1,000.00","818,422.00",0.12%,"+$76,228.60"
467,467,None,2022-06-16 09:43:02,2022-06-15,MSVB,"Mid-Southern Bancorp, Inc.",Koch Eric A.,Dir,Purchase,$13.99,+986.00,"85,000.00",1.17%,"+$13,794.14"
588,588,M,2022-06-15 14:21:49,2022-06-13,MSVB,"Mid-Southern Bancorp, Inc.",Koch Eric A.,Dir,Purchase,$13.99,"+3,008.00","84,014.00",3.71%,"+$42,079.60"
725,725,None,2022-06-13 16:36:35,2022-06-09,RIGL,RIGEL PHARMACEUTICALS INC,RODRIGUEZ RAUL R,"Dir,CEO, President",Purchase,$0.69,"+1,000,000.00","1,391,776.00",255.25%,"+$688,400.00"
786,786,None,2022-06-13 10:56:32,2022-06-09,LNT,ALLIANT ENERGY CORP,Falotico Nancy Joy,Dir,Purchase,$61.00,"+1,200.00","1,210.00",12000%,"+$73,200.00"
798,798,M,2022-06-13 18:50:02,2022-06-09,SHCR,"Sharecare, Inc.",Blalock Michael,Chief Accounting Officer,Purchase,$2.55,"+10,000.00","20,000.00",100%,"+$25,477.07"
810,810,M,2022-06-13 17:28:02,2022-06-09,MICS,SINGING MACHINE CO INC,"BitNile Holdings, Inc.",,"Purchase,Sale",$5.25,"+1,137,100.00","2,690,000.00",73.22%,"+$5,965,497.44"
837,837,M,2022-06-10 10:04:40,2022-06-09,SOHO,Sotherly Hotels Inc.,Folsom David R,"Dir,President and CEO",Purchase,$17.15,"+1,450.00","441,517.00",0.33%,"+$24,873.36"
850,850,None,2022-06-10 16:36:36,2022-06-09,RCL,ROYAL CARIBBEAN CRUISES LTD,Sorensen Vagn O,Dir,Purchase,$53.73,"+2,785.00","32,583.00",9.35%,"+$149,638.05"
866,866,None,2022-06-10 12:52:55,2022-06-09,MSVB,"Mid-Southern Bancorp, Inc.",Koch Eric A.,Dir,Purchase,$13.65,+875.00,"81,006.00",1.09%,"+$11,943.75"
340,340,M,2022-06-17 18:57:20,2022-06-16,TLYS,"TILLY’S, INC.",Henry Michael,CFO,Purchase,$7.15,"+4,000.00","29,000.00",16%,"+$28,583.80"
545,545,None,2022-06-15 10:24:07,2022-06-14,AQST,"Aquestive Therapeutics, Inc.",Boyd Peter E.,SVP-Bus. Process & Info. Tech.,Purchase,$0.81,"+5,000.00","59,532.00",9.17%,"+$4,050.00"
830,830,None,2022-06-10 16:03:33,2022-06-08,EGP,EASTGROUP PROPERTIES INC,EAVES HAYDEN C III,Dir,Purchase,$163.29,+600.00,"13,406.00",4.69%,"+$97,974.00"
840,840,None,2022-06-10 17:26:02,2022-06-08,AQST,"Aquestive Therapeutics, Inc.",BRAENDER LORI J,General Counsel,Purchase,$0.96,"+13,761.00","38,761.00",55.04%,"+$13,210.56"
841,841,None,2022-06-10 17:26:19,2022-06-08,AQST,"Aquestive Therapeutics, Inc.",Boyd Peter E.,SVP-Bus. Process & Info. Tech.,Purchase,$0.96,"+2,293.00","54,532.00",4.39%,"+$2,201.28"
842,842,None,2022-06-10 17:26:41,2022-06-08,AQST,"Aquestive Therapeutics, Inc.",Schobel Alexander Mark,Chief Innovation/Tech Officer,Purchase,$0.96,"+45,871.00","882,871.00",5.48%,"+$44,036.16"
843,843,None,2022-06-10 17:27:06,2022-06-08,AQST,"Aquestive Therapeutics, Inc.",Barber Daniel,Chief Executive Officer,Purchase,$0.96,"+91,743.00","193,702.00",89.98%,"+$88,073.28"
845,845,M,2022-06-10 16:56:02,2022-06-08,TLYS,"TILLY’S, INC.",Henry Michael,CFO,Purchase,$7.58,"+6,005.00","25,000.00",31.61%,"+$45,515.20"
880,880,None,2022-06-09 11:59:42,2022-06-08,WY,WEYERHAEUSER CO,Monaco Albert,Dir,Purchase,$38.76,"+3,500.00","30,746.00",12.85%,"+$135,660.00"
109,109,M,2022-06-23 16:59:33,2022-06-21,BCAB,"BioAtla, Inc.",SHORT JAY M PHD,"Dir,Chief Executive Officer10%",Purchase,$2.86,"+69,390.00","2,989,357.00",2.38%,"+$198,336.18"
922,922,M,2022-06-09 20:24:10,2022-06-08,ISR,"Isoray, Inc.",Austin Mark John,VP Finance/Prin Fin&Acct Offic,Purchase,$0.29,"+18,800.00","54,030.00",53.36%,"+$5,384.22"
900,900,M,2022-06-09 17:18:27,2022-06-07,ISR,"Isoray, Inc.",Hunt Jonathan Robert,Chief Financial Officer,Purchase,$0.29,"+39,000.00","106,306.00",57.94%,"+$11,160.86"
901,901,None,2022-06-09 17:20:40,2022-06-07,ISR,"Isoray, Inc.",Woods Lori A,"Dir,CEO",Purchase,$0.30,"+75,000.00","1,095,114.00",7.35%,"+$22,230.00"
933,933,M,2022-06-09 16:05:06,2022-06-07,BCAB,"BioAtla, Inc.",Vasquez Christian,See Remarks,Purchase,$3.02,"+50,000.00","74,525.00",203.87%,"+$150,914.13"
917,917,M,2022-06-09 17:00:27,2022-06-07,BZFD,"BuzzFeed, Inc.",Rothstein Adam,Dir,Purchase,$2.20,"+45,000.00","7,147,899.00",0.63%,"+$99,071.50"
945,945,None,2022-06-08 18:03:55,2022-06-06,PACW,PACWEST BANCORP,Black William J,"EVP, Strategy & Corp. Dev.",Purchase,$25.00,"+16,000.00","16,000.00",0%,"+$400,000.00"
946,946,None,2022-06-08 18:05:23,2022-06-06,PACW,PACWEST BANCORP,BLAKE CHRISTOPHER D,"Pres. & CEO, Community Banking",Purchase,$25.00,"+8,000.00","8,000.00",0%,"+$200,000.00"
947,947,None,2022-06-08 18:07:06,2022-06-06,PACW,PACWEST BANCORP,Cordes Rebecca H,"EVP, Human Resources",Purchase,$25.00,"+10,000.00","10,000.00",0%,"+$250,000.00"
948,948,None,2022-06-08 18:08:09,2022-06-06,PACW,PACWEST BANCORP,Olson Bart R,"EVP, Chief Financial Officer",Purchase,$25.00,"+4,000.00","4,000.00",0%,"+$100,000.00"
949,949,None,2022-06-08 18:09:01,2022-06-06,PACW,PACWEST BANCORP,Sparks Monica L,"EVP, Chief Accounting Officer",Purchase,$25.00,"+4,000.00","4,000.00",0%,"+$100,000.00"
950,950,None,2022-06-08 18:10:13,2022-06-06,PACW,PACWEST BANCORP,WAGNER MATTHEW P,"Dir,CEO and President",Purchase,$25.00,"+20,000.00","20,000.00",0%,"+$500,000.00"
951,951,None,2022-06-08 18:11:26,2022-06-06,PACW,PACWEST BANCORP,TAYLOR PAUL W,Dir,Purchase,$25.00,"+8,000.00","8,000.00",0%,"+$200,000.00"
962,962,None,2022-06-08 18:05:19,2022-06-06,BZFD,"BuzzFeed, Inc.",COLEMAN GREGORY,Dir,Purchase,$2.77,"+75,000.00","759,440.00",10.96%,"+$207,637.50"
990,990,None,2022-06-06 17:11:02,2022-06-06,CNCE,"CONCERT PHARMACEUTICALS, INC.",ALDRICH RICHARD,Dir,Purchase,$4.75,"+210,526.00","596,977.00",54.48%,"+$999,998.50"
1005,1005,None,2022-06-06 17:12:41,2022-06-06,CNCE,"CONCERT PHARMACEUTICALS, INC.",Auchincloss Thomas G,Dir,Purchase,$4.75,"+6,000.00","17,625.00",51.61%,"+$28,500.00"
1006,1006,None,2022-06-06 17:14:31,2022-06-06,CNCE,"CONCERT PHARMACEUTICALS, INC.",van Heek Christi,Dir,Purchase,$4.75,"+10,526.00","25,651.00",69.59%,"+$49,998.50"
1007,1007,None,2022-06-06 15:24:11,2022-06-06,NUO,NUVEEN OHIO QUALITY MUNICIPAL INCOME FUND,Robert Young L,other,Purchase,$13.14,"+14,060.00","14,060.00",0%,"+$184,748.40"
966,966,None,2022-06-06 17:00:40,2022-06-03,NTAP,"NetApp, Inc.",BERRY MICHAEL J,"EVP Finance & Operations, CFO",Purchase,$72.04,"+5,000.00","95,875.00",5.5%,"+$360,216.50"
989,989,None,2022-06-06 16:10:00,2022-06-03,RMESF,"RED METAL RESOURCES, LTD.",JEFFS RICHARD,10%,Purchase,$0.12,"+82,500.00","7,265,908.00",1.15%,"+$9,900.00"
1010,1010,None,2022-06-06 12:36:08,2022-06-03,SBFM,"Sunshine Biopharma, Inc",Sebaaly Camille,CFO/Secretary,Purchase,$1.22,"+25,000.00","144,465.00",20.93%,"+$30,500.00"
47,47,M,2022-06-24 17:51:20,2022-06-22,TCDA,"Tricida, Inc.","Venrock Healthcare Capital Partners II, L.P.",10%,Purchase,$10.37,"+492,020.00","7,069,209.00",7.48%,"+$5,101,091.60"
253,253,None,2022-06-21 17:12:22,2022-06-16,TCDA,"Tricida, Inc.","Venrock Healthcare Capital Partners II, L.P.",10%,Purchase,$9.69,"+5,951.00","6,577,189.00",0.09%,"+$57,665.19"
490,490,None,2022-06-15 17:30:24,2022-06-13,UAL,"United Airlines Holdings, Inc.",SHAPIRO EDWARD,Dir,Purchase,$37.69,"+50,000.00","100,000.00",100%,"+$1,884,465.00"
633,633,M,2022-06-14 17:00:24,2022-06-10,TCDA,"Tricida, Inc.","Venrock Healthcare Capital Partners II, L.P.",10%,Purchase,$8.57,"+118,054.00","6,571,238.00",1.83%,"+$1,011,461.14"
916,916,M,2022-06-09 18:33:50,2022-06-07,TCDA,"Tricida, Inc.","Venrock Healthcare Capital Partners II, L.P.",10%,Purchase,$9.65,"+588,024.00","6,453,184.00",10.03%,"+$5,672,963.18"
967,967,M,2022-06-06 17:30:14,2022-06-02,UAL,"United Airlines Holdings, Inc.",SHAPIRO EDWARD,Dir,Purchase,$44.71,"+50,000.00","50,000.00",0%,"+$2,235,272.50"
972,972,None,2022-06-06 19:23:43,2022-06-02,BSQR,BSQUARE CORP,Derrickson Ralph C,"Dir,President and CEO",Purchase,$1.34,"+5,000.00","40,000.00",14.29%,"+$6,690.00"
1020,1020,M,2022-06-06 17:19:10,2022-06-02,TCDA,"Tricida, Inc.","Venrock Healthcare Capital Partners II, L.P.",10%,Purchase,$9.16,"+190,871.00","5,865,160.00",3.36%,"+$1,748,709.45"
1026,1026,None,2022-06-06 13:05:40,2022-06-02,CPHC,Canterbury Park Holding Corp,Chronister Mark,Dir,Purchase,$0.00,"+1,378.00","5,618.00",32.5%,-$0.00
1072,1072,None,2022-06-03 16:11:40,2022-06-02,ESPR,"Esperion Therapeutics, Inc.",CARROLL J MARTIN,Dir,Purchase,$5.64,"+5,000.00","5,000.00",0%,"+$28,179.50"
321,321,None,2022-06-17 16:17:50,2022-06-15,NAOV,"NanoVibronix, Inc.",FASHEK CHRISTOPHER M,Dir,Purchase,$0.60,"+40,000.00","75,000.00",114.29%,"+$23,828.00"
717,717,None,2022-06-14 16:15:29,2022-06-14,NAOV,"NanoVibronix, Inc.",BROWN STEPHEN RUSSELL,Chief Financial Officer,Purchase,$0.57,"+4,000.00","4,000.00",0%,"+$2,295.60"
848,848,None,2022-06-10 16:01:40,2022-06-06,SCVL,SHOE CARNIVAL INC,Tomm Charles B.,Dir,Purchase,$27.30,"+2,000.00","25,324.00",8.57%,"+$54,600.00"
